"","Nt","min.N","g","g.1","max.g","evolve","survive","sigma"
"116",198,10,0,0.0213134991341772,0.106820464809724,1.71013931351093,1,0.05
"117",195,15,0,0.0205428225740065,0.0646137949310299,0.881419447140467,1,0.05
"118",200,7,0,0.019448437386347,0.0821428430740057,1.25388811375317,1,0.05
"119",200,10,0,0.0220895567807923,0.0610950174370187,0.780109213124528,1,0.05
"120",199,11,0,0.0186245262575797,0.0644285167145833,0.916079809140073,1,0.05
"121",199,9,0,0.0221589069806064,0.059561661638367,0.680050084686556,1,0.055
"122",198,15,0,0.0215041927689687,0.094893534548508,1.3343516687189,1,0.055
"123",199,9,0,0.0208625875630056,0.0768994455057079,1.01885196259459,1,0.055
"124",198,9,0,0.0193462639006775,0.0657728058087962,0.844118943783975,1,0.055
"125",199,8,0,0.0237531016893779,0.0414932551010405,0.322548243848411,1,0.055
"126",200,12,0,0.0216405339479623,0.0692516694650117,0.865657009400899,1,0.055
"127",199,10,0,0.0220980109511381,0.0712384833228591,0.893463134031291,1,0.055
"128",198,4,0,0.0193740901093799,0.0527496293121004,0.606827985504009,1,0.055
"129",198,11,0,0.0213835718215693,0.0906218105988859,1.25887706867848,1,0.055
"130",199,5,0,0.0215907777618502,0.0701178976834843,0.882311271302439,1,0.055
"131",199,10,0,0.0237488547908163,0.0949019096389013,1.18588424746808,1,0.06
"132",199,12,0,0.0262864691024945,0.101753694678793,1.2577870929383,1,0.06
"133",199,9,0,0.0227907797311694,0.0974692271569376,1.24464079042947,1,0.06
"134",199,7,0,0.0221694131622413,0.101987036476378,1.33029372190228,1,0.06
"135",199,10,0,0.0237926520977987,0.0847107483879262,1.01530160483546,1,0.06
"136",197,8,0,0.0218178484262139,0.0724560261759625,0.843969629162477,1,0.06
"137",199,10,0,0.0280526869843283,0.11123316700178,1.38634133362419,1,0.06
"138",199,5,0,0.0262251081042889,0.106675824876536,1.34084527953745,1,0.06
"139",198,17,0,0.0267117081586166,0.0856266896353454,0.981916357945481,1,0.06
"140",199,18,0,0.0292480846017499,0.0921018070216166,1.04756204033111,1,0.06
"141",198,9,0,0.027464122954774,0.0958419082867364,1.05196592818404,1,0.065
"142",199,4,0,0.0242102104108425,0.0913399406469636,1.03276508055571,1,0.065
"143",199,12,0,0.0265469012121889,0.113771798586361,1.34192149806419,1,0.065
"144",198,8,0,0.023279728065179,0.0838609215246037,0.932018360914226,1,0.065
"145",200,5,0,0.0209915692776254,0.12663971112434,1.62535602841099,1,0.065
"146",199,10,0,0.0248755346161522,0.0998876613325487,1.15403271871379,1,0.065
"147",198,13,0,0.0240099214692776,0.0853091311014465,0.943064763571829,1,0.065
"148",199,8,0,0.0256029915971728,0.0888071603654023,0.972371827203531,1,0.065
"149",199,9,0,0.0220422636188853,0.0836325288042313,0.947542541313015,1,0.065
"150",200,7,0,0.0240978516831226,0.0971798927730906,1.12433909369181,1,0.065
"151",199,7,0,0.0266761637479635,0.0695477633769636,0.61245142327143,1,0.07
"152",199,13,0,0.0293933536091706,0.0792888963061289,0.712793467099403,1,0.07
"153",199,14,0,0.0290671596067681,0.0906225670930976,0.879362964090422,1,0.07
"154",199,8,0,0.0253515729811005,0.127249098373468,1.45567893417667,1,0.07
"155",199,9,0,0.0251209526069023,0.0549007794991138,0.425426098460164,1,0.07
"156",200,8,0,0.022544850858737,0.107253606876187,1.21012508596358,1,0.07
"157",199,19,0,0.0299343293550826,0.102659726289325,1.03893424191775,1,0.07
"158",199,21,0,0.0289800183988092,0.108676887393965,1.1385266999308,1,0.07
"159",200,15,0,0.029136322676845,0.0850282317371498,0.798455843718639,1,0.07
"160",200,9,0,0.0249666593683314,0.118354464308306,1.3341114991425,1,0.07
"161",199,13,0,0.0320915565705028,0.107038716728446,0.999295468772582,1,0.075
"162",199,15,0,0.025897147991046,0.0922572578549165,0.884801464851608,1,0.075
"163",199,7,0,0.0289892576976739,0.107826317453441,1.05116079674357,1,0.075
"164",199,15,0,0.027796396060452,0.0873684728910534,0.794294357741352,1,0.075
"165",200,16,0,0.0333049929504888,0.0957093196845876,0.832057689787983,1,0.075
"166",199,10,0,0.0300657072718586,0.0623918632580465,0.431015413149172,1,0.075
"167",200,10,0,0.0286575346045767,0.108263857875126,1.06141764360732,1,0.075
"168",200,11,0,0.0313984413344024,0.114236742247715,1.10451067884417,1,0.075
"169",200,14,0,0.0331956873216472,0.122931230206244,1.19647390512795,1,0.075
"170",199,13,0,0.0334429295126303,0.0956423694088652,0.829325865283132,1,0.075
"171",200,16,0,0.0352584170172509,0.109737307979736,0.93098613703106,1,0.08
"172",199,6,0,0.0283146814963598,0.0811684015638945,0.660671500844183,1,0.08
"173",198,12,0,0.0321770744656293,0.117222159407412,1.06306356177229,1,0.08
"174",200,9,0,0.031420012817747,0.114744288562711,1.04155344681205,1,0.08
"175",199,16,0,0.0320792979250259,0.0870361141748419,0.6869602031227,1,0.08
"176",199,11,0,0.0325440140393268,0.135553158183226,1.28761430179874,1,0.08
"177",199,17,0,0.0338227304238066,0.10827961859867,0.930711102185791,1,0.08
