"","WT","S","E","I","R","M","N","g.avg"
"106",507.133156875458,12,0,0,13,6,25,0.216651992751162
"107",507.973454232031,12,0,0,13,5,25,0.216651992751162
"108",510.787840619708,12,0,0,13,4,25,0.216651992751162
"109",512.723093393365,13,0,0,13,4,26,0.215723743125399
"110",514.999492074276,12,1,0,13,4,26,0.215723743125399
"111",515.084981562589,12,0,1,13,4,26,0.215723743125399
"112",515.182256027665,12,0,0,13,5,25,0.208585161746691
"113",515.29603696889,13,0,0,12,5,25,0.208585161746691
"114",519.816761254089,13,0,0,12,4,25,0.208585161746691
"115",543.330178491271,14,0,0,11,4,25,0.208585161746691
"116",557.699398806633,15,0,0,11,4,26,0.209663086316267
"117",564.122832420024,14,1,0,11,4,26,0.209663086316267
"118",565.79173065904,14,0,1,11,4,26,0.209663086316267
"119",566.713833420216,14,0,0,11,5,25,0.209393239372307
"120",567.647517661516,13,1,0,11,5,25,0.209393239372307
"121",568.990892949097,13,0,0,12,5,25,0.209393239372307
"122",583.530294583303,14,0,0,12,5,26,0.209083489433022
"123",597.172897200494,15,0,0,11,5,26,0.209083489433022
"124",604.725123287635,14,1,0,11,5,26,0.209083489433022
"125",605.43304807255,14,0,0,12,5,26,0.209083489433022
"126",608.481256618107,15,0,0,11,5,26,0.209083489433022
"127",612.27652312712,14,1,0,11,5,26,0.209083489433022
"128",613.414225569678,13,2,0,11,5,26,0.209083489433022
"129",613.475767588675,13,2,0,11,4,26,0.209083489433022
"130",617.531203898803,13,1,1,11,4,26,0.209083489433022
"131",618.70648948497,13,1,0,11,5,25,0.20974612891109
"132",620.197866145362,13,0,0,12,5,25,0.20974612891109
"133",623.214781842296,14,0,0,11,5,25,0.20974612891109
"134",623.669044886288,13,1,0,11,5,25,0.20974612891109
"135",625.797524655144,13,0,0,12,5,25,0.20974612891109
"136",626.612532063946,13,0,0,12,4,25,0.20974612891109
"137",629.000550267046,12,1,0,12,4,25,0.20974612891109
"138",633.05347684929,13,1,0,11,4,25,0.20974612891109
"139",636.760326899468,14,1,0,11,4,26,0.208018819260388
"140",637.356092500292,14,0,1,11,4,26,0.208018819260388
"141",638.893787309243,14,0,0,11,5,25,0.213317642347424
"142",639.662347963978,15,0,0,11,5,26,0.21363180439471
"143",649.610152158561,15,0,0,10,5,25,0.206740613093059
